"archivo","ubicacion","codigo_postal","localidad","telefono_tienda","fecha","hora","op","factura_simplificada","importe_total","N.C","AID","AUT","ARC","tipos_iva"
"20240803 Mercadona 59,62 Ôé¼.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","03/08/2024","19:38","513315","3095-014-398573","59,62","047072319","A0000000041010","725787","3030","0%, 10%, 21%"
"20240808 Mercadona 35,38.pdf","C/ QUART 120","46008","VALENCIA","963824500","08/08/2024","20:41","936518","2502-014-124720","35,38","098101017","A0000000041010","483106","3030","0%, 10%, 21%"
"20240810 Mercadona 50,14.pdf","C/ QUART 120","46008","VALENCIA","963824500","10/08/2024","18:26","746878","2502-015-099204","50,14","098101017","A0000000041010","194044","3030","0%, 10%, 21%"
"20240816 Mercadona 15,81.pdf","C/ QUART 120","46008","VALENCIA","963824500","16/08/2024","13:52","3826845","2502-010-582456","15,81","098101017","A0000000041010","117031","3030","0%, 10%, 21%"
"20240816 Mercadona 54,12.pdf","C/ QUART 120","46008","VALENCIA","963824500","16/08/2024","21:26","746878","2502-014-125775","54,12","098101017","A0000000041010","392699","3030","0%, 10%, 21%"
"20240817 Mercadona 7,12.pdf","C/ QUART 120","46008","VALENCIA","963824500","17/08/2024","14:28","509058","2502-014-125900","7,12","098101017","A0000000041010","706236","3030","0%"
"20240819 Mercadona 28,21.pdf","C/ QUART 120","46008","VALENCIA","963824500","19/08/2024","14:22","509058","2502-014-126109","28,21","098101017","A0000000041010","121074","3030","5%, 10%"
"20240828 Mercadona 25,49 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","28/08/2024","12:30","3840529","3075-016-245912","25,49","077763746","A0000000041010","000660","00","0%, 10%, 21%"
"20240904 Mercadona 101,33 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","04/09/2024","20:43","3603171","3075-014-446588","101,33","077763746","A0000000041010","425256","00","0%, 5%, 10%, 21%"
"20240904 Mercadona 52,12 Ôé¼.pdf","AVDA. MEDINA AZAHARA 2","04620","VERA","950617434","04/09/2024","20:02","3828902","3402-010-725579","52,12","003777570","A0000000031010","287589","00","0%, 10%, 21%"
"20240909 Mercadona 79,87 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","09/09/2024","20:53","1315897","4523-019-087622","79,87","036426237","A0000000041010","525753","00","0%, 10%, 21%"
"20240911 Mercadona 24,02 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","11/09/2024","19:35","4060353","4523-019-088189","24,02","036426237","A0000000041010","351053","00","0%, 10%, 21%"
"20240914 Mercadona 40,16 Ôé¼.pdf","C/ VALENCIA S/N","03178","BENIJOFAR","966713008","14/09/2024","18:00","3017531","3095-014-407718","40,16","047072319","A0000000041010","639825","00","0%, 10%, 21%"
"20240916 Mercadona 2,02 Ôé¼.pdf","C/ GENERAL AVILÉS 79","46015","VALENCIA","963462056","16/09/2024","12:13","2962740","3106-012-730797","2,02","003990058","A0000000041010","584187","00","5%, 10%"
"20240917 Mercadona 24,68 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","17/09/2024","20:57","3603171","3075-016-250968","24,68","077763746","A0000000041010","476706","00","0%, 10%, 21%"
"20240921 Mercadona 146,56 Ôé¼.pdf","C/ MANUEL CANDELA 16","46021","VALENCIA","961624385","21/09/2024","19:19","411092","4583-020-413400","146,56","034903138","A0000000041010","170241","00","0%, 10%, 21%"
"20240930 Mercadona 57,02 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","30/09/2024","20:02","3558720","4523-021-516718","57,02","036426237","A0000000041010","021853","00","0%, 10%, 21%"
"20241001 Mercadona 43,86 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","01/10/2024","19:42","2147134","4523-019-092977","43,86","036426237","A0000000041010","415953","00","2%, 10%, 21%"
"20241003 Mercadona 50,72 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","03/10/2024","20:30","3948648","4523-016-319287","50,72","036426237","A0000000041010","301653","00","2%, 10%, 21%"
"20241003 Mercadona 8,15 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","03/10/2024","13:42","675697","4523-019-093422","8,15","036426237","A0000000041010","422753","00","10%"
"20241005 Mercadona 85,31 Ôé¼.pdf","C/ REYES CATÓLICOS 18","46450","BENIFAIO","961794334","05/10/2024","12:26","1172149","2660-022-302971","85,31","098102650","A0000000031010","612141","00","2%, 5%, 10%, 21%"
"20241007 Mercadona 21,79 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","07/10/2024","15:22","4025175","4523-016-320802","21,79","036426237","A0000000041010","681823","00","2%, 5%, 10%, 21%"
"20241008 Mercadona 12,41 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","08/10/2024","20:44","481195","4523-013-101483","12,41","036426237","A0000000041010","008510","00","2%, 10%"
"20241008 Mercadona 30,09 Ôé¼.pdf","C/ QUART 120","46008","VALENCIA","963824500","08/10/2024","15:16","461428","2502-015-127900","30,09","098101017","A0000000031010","365311","00","2%, 10%, 21%"
"20241012 Mercadona 79,70 Ôé¼.pdf","C/ PINTOR MAELLA 3","46023","VALENCIA","962564516","12/10/2024","11:51","685540","3957-014-421780","79,70","047199765","A0000000041010","665373","00","2%, 5%, 10%"
"20241014 Mercadona 1,56 Ôé¼.pdf","C/ GENERAL AVILÉS 79","46015","VALENCIA","963462056","14/10/2024","13:42","1739199","3106-010-264927","1,56","003990058","A0000000041010","157999","00","10%"
"20241014 Mercadona 24,38 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","14/10/2024","18:34","675488","4523-015-497437","24,38","036426237","A0000000041010","325374","00","2%, 4%, 5%, 10%, 21%"
"20241017 Mercadona 15,07 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","17/10/2024","20:19","1272722","4523-021-525741","15,07","036426237","A0000000041010","666226","00","2%, 10%, 21%"
"20241022 Mercadona 68,21 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","22/10/2024","19:15","3943896","4523-011-024632","68,21","036426237","A0000000041010","365905","00","2%, 5%, 10%, 21%"
"20241025 Mercadona 28,54 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","25/10/2024","21:22","3948648","4523-016-329718","28,54","036426237","A0000000041010","336166","00","2%, 10%, 21%"
