"Descripcion","P.Unit","Peso","Importe","Tipo_peso","factura_simplificada"
"CERV TOSTADA 0,0                      ",0.5,NA,NA,NA,"2233-020-628230"
"ARROZ INTEGRAL",1.7,NA,NA,NA,"2233-020-628230"
"FIDEO GRUESO",0.82,NA,NA,NA,"2233-020-628230"
"AGUACATE BANDEJA",3.23,NA,NA,NA,"2233-020-628230"
"PROVOLONE",2.35,NA,NA,NA,"2233-020-628230"
"QUESO CHEDDAR LONCHA",1.75,NA,NA,NA,"2233-020-628230"
"KIWI VERDE BANDEJA",2.87,NA,NA,NA,"2233-020-628230"
"PERF.CEJAS MICRO 02",3.5,NA,NA,NA,"2233-020-628230"
"ROJA ACIDULCE BOLSA",2.57,NA,NA,NA,"2233-011-469231"
"MEJILLON",3.2,NA,NA,NA,"2233-011-469231"
"LS MEDIA CALABACÍN",4.5,NA,NA,NA,"2473-021-290852"
"LS P PIZZA JCOCIDO                 ",2,NA,NA,NA,"2473-021-290852"
"LS P PIZZA JCOCIDO                 ",2,NA,NA,NA,"2473-021-290852"
"TINTO BOBAL                         ",3,NA,NA,NA,"4530-018-246015"
"TINTO BOBAL                         ",3,NA,NA,NA,"4530-018-246015"
"TOMATE TRITURADO                    ",0.72,NA,NA,NA,"4530-018-246015"
"TOMATE TRITURADO                    ",0.72,NA,NA,NA,"4530-018-246015"
"GUISANTES P-3",2.2,NA,NA,NA,"4530-018-246015"
"PANNA COTTA",1.15,NA,NA,NA,"4530-018-246015"
"GALLETA CHOCO NEGRO",1.25,NA,NA,NA,"4530-018-246015"
"FLAN DE HUEVO",1.35,NA,NA,NA,"4530-018-246015"
"PIMENTON DULCE D.O",1.75,NA,NA,NA,"4530-018-246015"
"TOMATE TROCEADO",0.9,NA,NA,NA,"4530-018-246015"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4530-018-246015"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-018-246015"
"CONOS",0.75,NA,NA,NA,"4530-018-246015"
"SERVILLETA 33X32 2CA",2.05,NA,NA,NA,"4530-018-246015"
"CORTEZA DE CERDO",1,NA,NA,NA,"4530-018-246015"
"PUERROS",1.45,NA,NA,NA,"4530-018-246015"
"JAMON CEBO IBERICO",8.14,NA,NA,NA,"4530-018-246015"
"JAMON CEBO IBERICO",7.73,NA,NA,NA,"4530-018-246015"
"COSTILLA CARNOSA",5.41,NA,NA,NA,"4530-018-246015"
"1/2 CONEJO TROCEADO",4.73,NA,NA,NA,"4530-018-246015"
"1/2 POLLO PART CERT",6.09,NA,NA,NA,"4530-018-246015"
"BACALAO AHUMADO",3.2,NA,NA,NA,"4530-018-246015"
"FRESÓN",3.25,NA,NA,NA,"4530-018-246015"
"ICEBERG",1.05,NA,NA,NA,"4530-018-246015"
"ESP VERDE FINO",2.19,NA,NA,NA,"4530-018-246015"
"JUDÍA PLANA 750 GR",3.25,NA,NA,NA,"4530-018-246015"
"ARROZ BASMATI",1.2,NA,NA,NA,"4530-018-246015"
"PRESA IBERICA",7.75,NA,NA,NA,"4530-018-246015"
"JAMÓN COCIDO 90%                    ",2.41,NA,NA,NA,"4530-018-246015"
"JAMÓN COCIDO 90%                    ",2.41,NA,NA,NA,"4530-018-246015"
"AZAFRAN HEBRA",1.7,NA,NA,NA,"4530-018-246015"
"FIGATELL",3.79,NA,NA,NA,"4530-018-246015"
"WAKAME",1.7,NA,NA,NA,"4530-018-246015"
"ROLLITO PRIMAVERA",1.6,NA,NA,NA,"4530-018-246015"
"LOMO SALMÓN NORUEGO",6.5,NA,NA,NA,"4530-018-246015"
"LOMO BACAL P/S",6.85,NA,NA,NA,"4530-018-246015"
"PEREJIL TROCEADO",1.5,NA,NA,NA,"4530-018-246015"
"JUDIA PLANA TROCEADA",1.55,NA,NA,NA,"4530-018-246015"
"GARROFON",1.5,NA,NA,NA,"4530-018-246015"
"CAÑAILLA",2.9,NA,NA,NA,"4530-018-246015"
"RODABALLO",10.5,1.788,18.77,"Pescado","4530-018-246015"
"BACALADILLA",3.95,1.05,4.15,"Pescado","4530-018-246015"
"SEPIA FRESCA",11.95,0.51,6.09,"Pescado","4530-018-246015"
"MANDARINA",2.29,1.436,3.29,"Verdura y Frutas","4530-018-246015"
"HABAS",3.95,2.144,8.47,"Verdura y Frutas","4530-018-246015"
"DESINFECTANT TEJIDOS",2.1,NA,NA,NA,"2448-012-237007"
"VINAGRE LIMPIEZA",0.9,NA,NA,NA,"2448-012-237007"
"MANDARINA 2 KG",4.18,NA,NA,NA,"2448-012-237007"
"100 % TRIGO ESPELTA",1.5,NA,NA,NA,"2448-012-237007"
"DET LIQ MARSELLA",3.5,NA,NA,NA,"2448-012-237007"
"CRACKERS ESPELTA",1.7,NA,NA,NA,"2448-012-237007"
"PAN REDONDO SEMILLAS",1.75,NA,NA,NA,"2448-012-237007"
"PROT BEBER TROPICAL",1.2,NA,NA,NA,"2448-012-237007"
"PROTEINA BEBER FRESA",1.2,NA,NA,NA,"2448-012-237007"
"CONTRAMUSLO DESHUESA",5.17,NA,NA,NA,"2448-012-237007"
"PAVO TACOS",4.88,NA,NA,NA,"2448-012-237007"
"LOMO SALMÓN NORUEGO",6.5,NA,NA,NA,"2448-012-237007"
"JAMON C.CALIDAD EXTR",2.04,NA,NA,NA,"2448-012-237007"
"PECHUGUITA POLLO ASA                ",2.6,NA,NA,NA,"2448-012-237007"
"PECHUGUITA POLLO ASA                ",2.6,NA,NA,NA,"2448-012-237007"
"PROTE.MANGO MARACUYA",1.6,NA,NA,NA,"2448-012-237007"
"QUESO FETA",2.35,NA,NA,NA,"2448-012-237007"
"TIRAS POLLO                         ",2.05,NA,NA,NA,"2448-012-237007"
"TIRAS POLLO                         ",2.05,NA,NA,NA,"2448-012-237007"
"T POLLO NATURAL                     ",2.05,NA,NA,NA,"2448-012-237007"
"T POLLO NATURAL                     ",2.05,NA,NA,NA,"2448-012-237007"
"LECHE ENTERA P6",8.82,NA,NA,NA,"2448-012-237007"
"LECHE ENTERA S/LACT",5.94,NA,NA,NA,"2448-012-237007"
"PLATANO",1.99,2.07,4.12,"Verdura y Frutas","2448-012-237007"
"B ALMENDRAS S/A CAJA",8.1,NA,NA,NA,"2233-021-401360"
"12 HUEVOS GRANDES -L",2.2,NA,NA,NA,"2233-021-401360"
"HOGAZA CENTENO 50%",1.8,NA,NA,NA,"2233-021-401360"
"EXPLOSION ACTION ENJ",1.5,NA,NA,NA,"4530-016-087832"
"GEL FRUTAL",1.05,NA,NA,NA,"4530-016-087832"
"ANCHOAS A.GIRASOL P3",2.1,NA,NA,NA,"4530-016-087832"
"AGUA MICELAR",3.2,NA,NA,NA,"4530-016-087832"
"BEBIDA ALMENDRAS S/A                ",1.35,NA,NA,NA,"4530-016-087832"
"BEBIDA ALMENDRAS S/A                ",1.35,NA,NA,NA,"4530-016-087832"
"ARROZ BOMBA",4.9,NA,NA,NA,"4530-016-087832"
"TOMATE TRITURADO                    ",0.72,NA,NA,NA,"4530-016-087832"
"TOMATE TRITURADO                    ",0.72,NA,NA,NA,"4530-016-087832"
"SOJA CALCIO PACK",4.2,NA,NA,NA,"4530-016-087832"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-016-087832"
"CRUNCHY PICANTE",1,NA,NA,NA,"4530-016-087832"
"REBUENAS",1.2,NA,NA,NA,"4530-016-087832"
"M.CROISS MANTEQUILLA",1.85,NA,NA,NA,"4530-016-087832"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4530-016-087832"
"GALLETA CHOCO NEGRO",1.25,NA,NA,NA,"4530-016-087832"
"CONOS",0.75,NA,NA,NA,"4530-016-087832"
"GALL DIGESTIVE",1.8,NA,NA,NA,"4530-016-087832"
"APIO VERDE",0.88,NA,NA,NA,"4530-016-087832"
"ESP VERDE FINO",1.99,NA,NA,NA,"4530-016-087832"
"PATATA 3 KG",4.9,NA,NA,NA,"4530-016-087832"
"EMBUTIDO LONCHEADO",4.9,NA,NA,NA,"4530-016-087832"
"DÁTIL MEDJOUL FRIO",3.85,NA,NA,NA,"4530-016-087832"
"MIX DE SETAS SUAVE",3.76,NA,NA,NA,"4530-016-087832"
"TARTA QUESO",1.8,NA,NA,NA,"4530-016-087832"
"FRESÓN",3.03,NA,NA,NA,"4530-016-087832"
"TOMATE MALLA 2 KG.",3.7,NA,NA,NA,"4530-016-087832"
"CREMA QUESO TOSTADO",1.68,NA,NA,NA,"4530-016-087832"
"QUESO LONCHAS OVEJA",2.84,NA,NA,NA,"4530-016-087832"
"QUESO LONCHAS OVEJA",2.95,NA,NA,NA,"4530-016-087832"
"JAMÓN COCIDO 90%                    ",2.41,NA,NA,NA,"4530-016-087832"
"JAMÓN COCIDO 90%                    ",2.41,NA,NA,NA,"4530-016-087832"
"EMBUTIDO LONCHEADO",5.36,NA,NA,NA,"4530-016-087832"
"ACEITUNA PARTIDA",3.95,NA,NA,NA,"4530-016-087832"
"HAMBURGUESA DE LOMO",3.7,NA,NA,NA,"4530-016-087832"
"ALAS PARTIDAS CERT",4.85,NA,NA,NA,"4530-016-087832"
"COSTILLEJA",4.79,NA,NA,NA,"4530-016-087832"
"ESPINACA PICADA",1.25,NA,NA,NA,"4530-016-087832"
"LOMO BACAL P/S",6.19,NA,NA,NA,"4530-016-087832"
"BERBERECHO                          ",5.95,NA,NA,NA,"4530-016-087832"
"BERBERECHO                          ",5.95,NA,NA,NA,"4530-016-087832"
"SEPIA FRESCA",11.95,0.464,5.54,"Pescado","4530-016-087832"
"RAPE FRESCO ENTERO",12.9,1.238,15.97,"Pescado","4530-016-087832"
"ALCACHOFA",2.5,0.692,1.73,"Verdura y Frutas","4530-016-087832"
"PIMIENTO VERDE",1.89,0.368,0.7,"Verdura y Frutas","4530-016-087832"
"MANDARINA",2.29,1.142,2.62,"Verdura y Frutas","4530-016-087832"
"MANGO",2.39,1.402,3.35,"Verdura y Frutas","4530-016-087832"
"HABAS",3.95,1.91,7.54,"Verdura y Frutas","4530-016-087832"
"PATATA 5 KG",6.49,NA,NA,NA,"2448-014-523052"
"MANDARINA 2 KG",3.58,NA,NA,NA,"2448-014-523052"
"100 % TRIGO ESPELTA",1.5,NA,NA,NA,"2448-014-523052"
"Q BURGOS DESNATADO",1.9,NA,NA,NA,"2448-014-523052"
"PAN REDONDO SEMILLAS",1.75,NA,NA,NA,"2448-014-523052"
"RODAJAS EMPERADOR",5.22,NA,NA,NA,"2448-014-523052"
"RODAJAS EMPERADOR",5.31,NA,NA,NA,"2448-014-523052"
"ATUN CLARO NATURAL P",4.35,NA,NA,NA,"2448-014-523052"
"ACEITUNA R/ANCHOA P3",3.12,NA,NA,NA,"2448-014-523052"
"TOMATE TRITURADO",0.72,NA,NA,NA,"2448-014-523052"
"PICADA DE VACUNO",4.5,NA,NA,NA,"2448-014-523052"
"PECHUGUITA POLLO ASA",2.6,NA,NA,NA,"2448-014-523052"
"JAMON C.CALIDAD EXTR",2.04,NA,NA,NA,"2448-014-523052"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-523052"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-523052"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-523052"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-523052"
"CRACKERS ESPELTA",1.7,NA,NA,NA,"2448-014-523052"
"MEJILLON ESCABECHE P",2.3,NA,NA,NA,"2448-014-523052"
"ARROZ INTEGRAL",1.15,NA,NA,NA,"2448-014-523052"
"PLATANO",1.99,1.59,3.16,"Verdura y Frutas","2448-014-523052"
"PARKING",0,NA,NA,NA,"2448-014-523052"
"NARANJA 5 KG.",6.75,NA,NA,NA,"2233-011-471589"
"NEGRO 99% CACAO",1.8,NA,NA,NA,"2233-011-471589"
"ROJA ACIDULCE BOLSA",3.17,NA,NA,NA,"2233-011-471589"
"C 0,0 TOSTADA P-6",6.9,NA,NA,NA,"2233-011-471589"
"PISTACHO TOST 0% SAL",3.35,NA,NA,NA,"2233-011-471589"
"CACAHUETE SIN SAL",1.55,NA,NA,NA,"2233-011-471589"
"AVELLANA TOSTADA",3.1,NA,NA,NA,"2233-011-471589"
"NUEZ CASCARA NATURAL",3.25,NA,NA,NA,"2233-011-471589"
"COPOS DE AVENA",0.95,NA,NA,NA,"2233-011-471589"
"ALTRAMUCES",1.75,NA,NA,NA,"2233-011-471589"
"ANACARDO NATURAL",2.3,NA,NA,NA,"2233-011-471589"
"CAFE MOLIDO NATURAL",3.35,NA,NA,NA,"2233-011-471589"
"TINTO BOBAL                         ",3,NA,NA,NA,"4530-018-249357"
"TINTO BOBAL                         ",3,NA,NA,NA,"4530-018-249357"
"TINTO BOBAL                         ",3,NA,NA,NA,"4530-018-249357"
"MARINA ALTA                         ",4.95,NA,NA,NA,"4530-018-249357"
"MARINA ALTA                         ",4.95,NA,NA,NA,"4530-018-249357"
"BEBIDA ALMENDRAS S/A                ",1.3,NA,NA,NA,"4530-018-249357"
"BEBIDA ALMENDRAS S/A                ",1.3,NA,NA,NA,"4530-018-249357"
"GEL AFEITAR SENS.",1.6,NA,NA,NA,"4530-018-249357"
"TOMATE TRITURADO",0.72,NA,NA,NA,"4530-018-249357"
"TOMATE TROCEADO",0.85,NA,NA,NA,"4530-018-249357"
"40 B.MINI PAPELERA",1.35,NA,NA,NA,"4530-018-249357"
"ATÚN CLARO GIRAS PK6                ",4.2,NA,NA,NA,"4530-018-249357"
"ATÚN CLARO GIRAS PK6                ",4.2,NA,NA,NA,"4530-018-249357"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-018-249357"
"MINI TOSTAS NORMALES",1.4,NA,NA,NA,"4530-018-249357"
"AJO SECO 250 G",1.55,NA,NA,NA,"4530-018-249357"
"MAXI HAMBURGUESA",0.9,NA,NA,NA,"4530-018-249357"
"CAÑAILLA",2.9,NA,NA,NA,"4530-018-249357"
"CEBOLLA 2 KG",3.85,NA,NA,NA,"4530-018-249357"
"ESP VERDE FINO                      ",2.25,NA,NA,NA,"4530-018-249357"
"ESP VERDE FINO                      ",2.25,NA,NA,NA,"4530-018-249357"
"NARANJA 5 KG.",4.95,NA,NA,NA,"4530-018-249357"
"EMBUTIDO LONCHEADO",4.12,NA,NA,NA,"4530-018-249357"
"SALCHICHON CEBO LONC",3.07,NA,NA,NA,"4530-018-249357"
"CORTADO A CUCHILLO",6,NA,NA,NA,"4530-018-249357"
"QUESO LONCHAS OVEJA",2.88,NA,NA,NA,"4530-018-249357"
"JAMÓN COCIDO 90%                    ",2.41,NA,NA,NA,"4530-018-249357"
"JAMÓN COCIDO 90%                    ",2.41,NA,NA,NA,"4530-018-249357"
"POLLO CERTIFICADO E",8.15,NA,NA,NA,"4530-018-249357"
"FRESÓN 1 KG.",4.05,NA,NA,NA,"4530-018-249357"
"HAMBURGUESA DE LOMO",3.7,NA,NA,NA,"4530-018-249357"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4530-018-249357"
"KIWI VERDE",2.5,0.66,1.65,"Verdura y Frutas","4530-018-249357"
"HABAS",3.95,1.486,5.87,"Verdura y Frutas","4530-018-249357"
"PLATANO",1.69,1.202,2.03,"Verdura y Frutas","4530-018-249357"
"ALCACHOFA",2.75,0.936,2.57,"Verdura y Frutas","4530-018-249357"
"MANDARINA",1.99,0.736,1.46,"Verdura y Frutas","4530-018-249357"
"FIDEO CABELLO",0.82,NA,NA,NA,"2233-012-101904"
"FIDEO",0.82,NA,NA,NA,"2233-012-101904"
"MEJILLON",3.2,NA,NA,NA,"2233-012-101904"
"TOMATE TRITURADO                   ",0.72,NA,NA,NA,"2233-012-101904"
"TOMATE TRITURADO                   ",0.72,NA,NA,NA,"2233-012-101904"
"CHAMPU EN SECO",2,NA,NA,NA,"2233-012-101904"
"COPOS DE AVENA",0.95,NA,NA,NA,"2233-012-101904"
"PAN CRISTAL 4UDS",1.95,NA,NA,NA,"2233-012-101904"
"CHAMPIÑON BANDEJA P",1.38,NA,NA,NA,"2233-012-101904"
"BURGER BERENJENA",2.4,NA,NA,NA,"2233-012-101904"
"GEL BIOME PROTECT",4,NA,NA,NA,"2233-012-101904"
"BANDAS DEPIL FACIAL",1.2,NA,NA,NA,"2233-012-101904"
"PANCETA",4.69,NA,NA,NA,"2233-012-101904"
"CHORIZO PICANTE",2.47,NA,NA,NA,"2233-012-101904"
"LONGANIZA MAGRO FRES",3.47,NA,NA,NA,"2233-012-101904"
"LS BERENJENA                        ",4.5,NA,NA,NA,"3835-017-472201"
"LS BERENJENA                        ",4.5,NA,NA,NA,"3835-017-472201"
"PAN DE PUEBLO",1.5,NA,NA,NA,"3835-017-472201"
"P INTEGRAL TRIGO100%",1.63,NA,NA,NA,"3835-017-472201"
"MEJILLÓN VIVO",2.95,NA,NA,NA,"3835-017-472201"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"3835-017-472201"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"3835-017-472201"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"3835-017-472201"
"MANDARINA 2 KG",3.58,NA,NA,NA,"3835-017-472201"
"JAMON C.CALIDAD EXTR               ",2.04,NA,NA,NA,"3835-017-472201"
"JAMON C.CALIDAD EXTR               ",2.04,NA,NA,NA,"3835-017-472201"
"JAMON EXTRAFINO TREV               ",3.5,NA,NA,NA,"3835-017-472201"
"JAMON EXTRAFINO TREV               ",3.5,NA,NA,NA,"3835-017-472201"
"LS FINGERS DE QUESO",3.5,NA,NA,NA,"3835-017-472201"
"COSTILLA CARNOSA",5.4,NA,NA,NA,"3835-017-472201"
"LS ALBONDIGAS PATATA",4.75,NA,NA,NA,"3835-017-472201"
"ESPRESSO INTENSO                   ",4.25,NA,NA,NA,"3835-017-472201"
"ESPRESSO INTENSO                   ",4.25,NA,NA,NA,"3835-017-472201"
"MINI TIERNO",10.64,NA,NA,NA,"3835-017-472201"
"PATATA 5 KG",6.49,NA,NA,NA,"3835-017-472201"
"LS ENSALADILLA PEQUE               ",3.5,NA,NA,NA,"3835-017-472201"
"LS ENSALADILLA PEQUE               ",3.5,NA,NA,NA,"3835-017-472201"
"LS TORTILLA CALABAC",8,NA,NA,NA,"3835-017-472201"
"MANZANA GOLDEN",2.09,1.448,3.03,"Verdura y Frutas","3835-017-472201"
"DET LIQ MARSELLA",3.3,NA,NA,NA,"4530-014-349229"
"SUAVIZANTE FLORAL",1.85,NA,NA,NA,"4530-014-349229"
"CEBOLLA 2 KG",3.85,NA,NA,NA,"4530-014-349229"
"KIWI VERDE BANDEJA",2.9,NA,NA,NA,"4530-014-349229"
"PROT. NORMAL",1.85,NA,NA,NA,"4530-018-249939"
"JUDÍA PLANA 750 GR",2.99,NA,NA,NA,"4530-018-249939"
"ICEBERG",0.99,NA,NA,NA,"4530-018-249939"
"ACEITUNA PARTIDA",3.9,NA,NA,NA,"4530-018-249939"
"HERBAL C/FLÚOR",1.1,NA,NA,NA,"4530-018-249939"
"ALCAPARRAS",1.3,NA,NA,NA,"4530-018-249939"
"ALCAPARRONES",2.5,NA,NA,NA,"4530-018-249939"
"BACALAO AHUMADO",3.2,NA,NA,NA,"4530-018-249939"
"AGUACATE BANDEJA",3.66,NA,NA,NA,"4530-018-249939"
"+PROT PLA-AÇAÍ               ",1.15,NA,NA,NA,"2448-014-525162"
"+PROT PLA-AÇAÍ               ",1.15,NA,NA,NA,"2448-014-525162"
"SALTEADO VERD. ASADA",1.85,NA,NA,NA,"2448-014-525162"
"LOMO SALMÓN NORUEGO",6.4,NA,NA,NA,"2448-014-525162"
"MANDARINA 2 KG",3.58,NA,NA,NA,"2448-014-525162"
"PAN REDONDO SEMILLAS",1.75,NA,NA,NA,"2448-014-525162"
"COCKTAIL NATURAL",2.4,NA,NA,NA,"2448-014-525162"
"PISTACHO NATURAL",2.64,NA,NA,NA,"2448-014-525162"
"PROT BEBER TROPICAL",1.15,NA,NA,NA,"2448-014-525162"
"CHAMPU 0%                    ",2.05,NA,NA,NA,"2448-014-525162"
"CHAMPU 0%                    ",2.05,NA,NA,NA,"2448-014-525162"
"100 % TRIGO ESPELTA",1.5,NA,NA,NA,"2448-014-525162"
"ACEITE VIRGEN EXTRA",3.3,NA,NA,NA,"2448-014-525162"
"FRESH GEL",1.1,NA,NA,NA,"2448-014-525162"
"TOMATE TRITURADO",0.72,NA,NA,NA,"2448-014-525162"
"BRONCHALES 1L P-6",3,NA,NA,NA,"2448-014-525162"
"ATUN CLARO NATURAL P",4.35,NA,NA,NA,"2448-014-525162"
"40 B.CIERRA FÁCIL",1.7,NA,NA,NA,"2448-014-525162"
"JAMON C.CALIDAD EXTR",2.04,NA,NA,NA,"2448-014-525162"
"CONTRAMUSLO SIN PIEL",4.56,NA,NA,NA,"2448-014-525162"
"TACOS AÑOJO",7.48,NA,NA,NA,"2448-014-525162"
"CRACKERS ESPELTA",1.7,NA,NA,NA,"2448-014-525162"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-525162"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-525162"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-525162"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-525162"
"BOTE CHICLE MENTA",1.95,NA,NA,NA,"2448-014-525162"
"QUESO FETA",2.35,NA,NA,NA,"2448-014-525162"
"LECHE ENTERA P6",8.82,NA,NA,NA,"2448-014-525162"
"PIMIENTO FREIR",2.19,0.512,1.12,"Verdura y Frutas","2448-014-525162"
"PLATANO",1.99,1.38,2.75,"Verdura y Frutas","2448-014-525162"
"PARKING",0,NA,NA,NA,"2448-014-525162"
"ENSALADA CESAR                      ",2.39,NA,NA,NA,"2916-017-348133"
"ENSALADA CESAR                      ",2.39,NA,NA,NA,"2916-017-348133"
"WRAPIDOS TEXAS                      ",2.99,NA,NA,NA,"2916-017-348133"
"WRAPIDOS TEXAS                      ",2.99,NA,NA,NA,"2916-017-348133"
"PALITOS ZANAHORIA",1.99,NA,NA,NA,"2916-017-348133"
"AGUACATE BANDEJA",3.79,NA,NA,NA,"2916-017-348133"
"TIRAS FRITAS",0.8,NA,NA,NA,"2916-017-348133"
"AROS DE MAÍZ",0.85,NA,NA,NA,"2916-017-348133"
"BOLSA PLASTICO",0.15,NA,NA,NA,"2916-017-348133"
"PARKING",0,NA,NA,NA,"2916-017-348133"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"2233-022-213473"
"MANZANA GOLDEN BOLSA",2.51,NA,NA,NA,"2233-022-213473"
"POLLO ENTERO LIMPIO",7.06,NA,NA,NA,"2233-022-213473"
"PILA ALCALINA LR6",1.6,NA,NA,NA,"2233-022-213473"
"COPOS DE AVENA                       ",0.95,NA,NA,NA,"2233-022-213473"
"COPOS DE AVENA                       ",0.95,NA,NA,NA,"2233-022-213473"
"MANDARINA 2 KG",2.98,NA,NA,NA,"2233-022-213473"
"GARBANZO M.COCIDO                    ",0.71,NA,NA,NA,"2233-022-213473"
"GARBANZO M.COCIDO                    ",0.71,NA,NA,NA,"2233-022-213473"
"AVELLANA TOSTADA",3.1,NA,NA,NA,"2233-022-213473"
"DESODORANTE ROLL-ON",1.9,NA,NA,NA,"2233-022-213473"
"ANACARDO NATURAL",2.3,NA,NA,NA,"2233-022-213473"
"S. HIERBAS PROVENZAL",1,NA,NA,NA,"2233-022-213473"
"CACAHUETE SIN SAL",1.55,NA,NA,NA,"2233-022-213473"
"PISTACHO TOST 0% SAL",3.35,NA,NA,NA,"2233-022-213473"
"FRESÓN 1 KG.",4.33,NA,NA,NA,"4530-021-052043"
"UVA BLANCA S/SEM",2.18,NA,NA,NA,"4530-021-052043"
"RABANITOS",1.1,NA,NA,NA,"4530-021-052043"
"MANZANA GOLDEN BOLSA",2.5,NA,NA,NA,"4530-021-052043"
"ESP VERDE FINO                        ",2.25,NA,NA,NA,"4530-021-052043"
"ESP VERDE FINO                        ",2.25,NA,NA,NA,"4530-021-052043"
"CHAMPIÑON PORTOBELLO",2.06,NA,NA,NA,"4530-021-052043"
"SETA BANDEJA",1.87,NA,NA,NA,"4530-021-052043"
"FUMET DE PESCADO",3,NA,NA,NA,"4530-021-052043"
"DEO BODY SP POWER",1.8,NA,NA,NA,"4530-021-052043"
"TOMILLO",1.05,NA,NA,NA,"4530-021-052043"
"NARANJA 5 KG.",5.95,NA,NA,NA,"4530-021-052043"
"HIGIENICO DOBLE ROLL",4.4,NA,NA,NA,"4530-021-052043"
"CH. PALO RIÑONAD",14.36,NA,NA,NA,"4530-021-052043"
"ALAS PARTIDAS CERT",4.47,NA,NA,NA,"4530-021-052043"
"PAN 51% INTEGRAL 5UN",1.3,NA,NA,NA,"4530-021-052043"
"QUESO LONCHAS OVEJA",2.86,NA,NA,NA,"4530-021-052043"
"JAMÓN COCIDO 90%                      ",2.41,NA,NA,NA,"4530-021-052043"
"JAMÓN COCIDO 90%                      ",2.41,NA,NA,NA,"4530-021-052043"
"CINTAS DE BACON",2.1,NA,NA,NA,"4530-021-052043"
"LONGANIZA DE PAYES",4.98,NA,NA,NA,"4530-021-052043"
"LONGANIZA PASCUA",2.43,NA,NA,NA,"4530-021-052043"
"BERBERECHO",5.95,NA,NA,NA,"4530-021-052043"
"COLA RAPE",9.24,NA,NA,NA,"4530-021-052043"
"CAÑAILLA",2.9,NA,NA,NA,"4530-021-052043"
"ALISTADO MEDIANO",31.33,NA,NA,NA,"4530-021-052043"
"SEPIA FRESCA",11.95,0.632,7.55,"Pescado","4530-021-052043"
"TOMATE NEGRO",2.09,0.652,1.36,"Verdura y Frutas","4530-021-052043"
"ALCACHOFA",2.49,0.994,2.48,"Verdura y Frutas","4530-021-052043"
"HABAS",3.95,1.648,6.51,"Verdura y Frutas","4530-021-052043"
"LOMO SALMÓN NORUEGO",6.4,NA,NA,NA,"4530-017-230543"
"WAKAME",1.7,NA,NA,NA,"4530-017-230543"
"ROLLITO PRIMAVERA",1.6,NA,NA,NA,"4530-017-230543"
"TAQUITO DE JAMON",2.65,NA,NA,NA,"4530-017-230543"
"PATATA 5 KG",6.49,NA,NA,NA,"4530-017-230543"
"BERENJENA",1.59,0.392,0.62,"Verdura y Frutas","4530-017-230543"
"HELICES VEGETALES",1.6,NA,NA,NA,"2448-014-527290"
"CRACKERS ESPELTA",1.7,NA,NA,NA,"2448-014-527290"
"HIGIENICO DOBLE ROLL",2.25,NA,NA,NA,"2448-014-527290"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-527290"
"T POLLO NATURAL              ",2.05,NA,NA,NA,"2448-014-527290"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-527290"
"TIRAS POLLO                  ",2.05,NA,NA,NA,"2448-014-527290"
"LOMO SALMÓN NORUEGO",6.4,NA,NA,NA,"2448-014-527290"
"+PROT PLA-AÇAÍ",1.15,NA,NA,NA,"2448-014-527290"
"PANEC. 100% INTEGRAL",1.05,NA,NA,NA,"2448-014-527290"
"ATUN CLARO NATURAL P",4.35,NA,NA,NA,"2448-014-527290"
"100 % TRIGO ESPELTA",1.5,NA,NA,NA,"2448-014-527290"
"SALTEADO DE VERDURAS",1.55,NA,NA,NA,"2448-014-527290"
"PAVO TACOS",4.8,NA,NA,NA,"2448-014-527290"
"QUESO COTTAGE",1.2,NA,NA,NA,"2448-014-527290"
"MANDARINA 2 KG",2.18,NA,NA,NA,"2448-014-527290"
"LECHE ENTERA S/LACT",5.94,NA,NA,NA,"2448-014-527290"
"PLATANO",1.99,1.984,3.95,"Verdura y Frutas","2448-014-527290"
"PARKING",0,NA,NA,NA,"2448-014-527290"
"HILO DENTAL PACK-2",1.8,NA,NA,NA,"4530-021-052393"
"MARINA ALTA",4.95,NA,NA,NA,"4530-021-052393"
